map_i	map_j	theta
250	250	2.575147285050993
242	237	2.575147285050997
234	225	2.5751472850509978
226	212	2.575147285051002
218	199	2.575147285051002
210	187	2.5751472850510124
202	174	2.575147285051001
194	161	2.575147285051001
186	149	2.575147285051009
178	136	2.5751472850509964
169	123	2.575147285050998
161	111	2.5751472850510027
153	98	2.5751472850510075
145	86	2.393685441267749
133	77	2.018234759919626
119	73	1.6427881137636176
104	75	1.2673414676076158
91	82	0.8918948214516202
81	93	0.5164481752956276
75	107	0.33498243954176604
70	121	0.3349822963202362
65	136	0.33498229632022797
61	150	0.3349822963202359
56	164	0.3349822963202321
51	178	0.3349822963202321
50	180	0.33498229632022997
